1,Percorso di Riabilitazione Sociale,"Incontro settimanale di supporto e orientamento post-detenzione, con relatori esperti in riabilitazione sociale e psicologi.",2024-01-28 15:00:00,True,1
2,Laboratorio di Arteterapia,"Laboratorio creativo che utilizza l'arte come mezzo di espressione e recupero, guidato da professionisti dell'arteterapia.",2024-02-04 15:00:00,True,2
3,Formazione Professionale in Cucina,"Corso di formazione professionale per ex detenuti nel settore della ristorazione, in collaborazione con chef locali.",2024-02-11 15:00:00,False,3
4,Seminario di Alfabetizzazione Informatica,"Seminario introduttivo all'uso del computer e del software di base, pensato per favorire l'inclusione digitale.",2024-02-18 15:00:00,True,1
5,Workshop di Scrittura Creativa,"Workshop finalizzato allo sviluppo delle competenze comunicative e creative attraverso la scrittura, condotto da scrittori professionisti.",2024-02-25 15:00:00,False,2
6,Programma di Educazione Finanziaria,Serie di incontri per fornire nozioni di base sulla gestione delle finanze personali e sul risparmio.,2024-03-04 15:00:00,True,3
7,Incontri di Supporto Psicologico,Incontri di gruppo con psicologi per discutere di tematiche legate al reinserimento sociale e alla gestione emotiva post-detenzione.,2024-03-11 15:00:00,True,1
8,Corso di Lingua Inglese,Corso di lingua inglese di livello base per migliorare le opportunità di lavoro e di integrazione.,2024-03-18 15:00:00,False,2
9,Iniziativa Sportiva Comunitaria,"Attività sportive settimanali per promuovere lo spirito di squadra e il benessere fisico, in collaborazione con associazioni sportive locali.",2024-03-25 15:00:00,True,3
10,Tavola Rotonda sull'Integrazione Lavorativa,Discussione con esperti e testimoni sulle sfide e le opportunità di reinserimento lavorativo per ex detenuti.,2024-04-01 15:00:00,False,1
